,x,y,,,,,,,,,
0,549.759,97.891,,,,,,,,,
1,569.049,93.321,,,,,,,,,
2,588.339,94.121,,,,,,,,,
3,607.628,98.641,,,,,,,,,
4,626.918,98.691,,,,,,,,,
5,646.208,98.9184,,,,,,,,,
6,665.498,98.7927,,,,,,,,,
7,684.787,98.341,,,,,,,,,
8,704.077,97.761,,,,,,,,,
9,723.367,97.001,,,,,,,,,
10,742.657,90.781,,,,,,,,,
11,761.947,87.791,,,,,,,,,
12,781.236,86.881,,,,,,,,,
13,800.526,75.331,,,,,,,,,
14,819.816,75.791,,,,,,,,,
15,839.106,91.141,,,,,,,,,
16,858.395,97.921,,,,,,,,,
17,877.685,98.8224,,,,,,,,,
18,896.975,98.9784,,,,,,,,,
19,916.265,99.0499,,,,,,,,,
20,935.555,98.061,,,,,,,,,
21,954.844,93.801,,,,,,,,,
22,974.134,92.621,,,,,,,,,
23,993.424,49.761,,,,,,,,,
24,1012.714,58.901,,,,,,,,,
25,1032.003,93.901,,,,,,,,,
26,1051.293,73.801,,,,,,,,,
27,1070.583,86.041,,,,,,,,,
28,1089.873,96.011,,,,,,,,,
29,1109.163,96.031,,,,,,,,,
30,1128.452,97.431,,,,,,,,,
31,1147.742,98.141,,,,,,,,,
32,1167.032,96.561,,,,,,,,,
33,1186.322,93.691,,,,,,,,,
34,1205.611,94.911,,,,,,,,,
35,1224.901,95.471,,,,,,,,,
36,1244.191,98.381,,,,,,,,,
37,1263.481,98.291,,,,,,,,,
38,1282.771,97.441,,,,,,,,,
39,1302.06,94.641,,,,,,,,,
40,1321.35,94.531,,,,,,,,,
41,1340.64,97.621,,,,,,,,,
42,1359.93,95.791,,,,,,,,,
43,1379.219,91.161,,,,,,,,,
44,1398.509,90.981,,,,,,,,,
45,1417.799,93.541,,,,,,,,,
46,1437.089,91.341,,,,,,,,,
47,1456.378,77.011,,,,,,,,,
48,1475.668,41.591,,,,,,,,,
49,1494.958,74.691,,,,,,,,,
50,1514.248,96.891,,,,,,,,,
51,1533.538,98.591,,,,,,,,,
52,1552.827,98.341,,,,,,,,,
53,1572.117,96.801,,,,,,,,,
54,1591.407,96.761,,,,,,,,,
55,1610.697,97.671,,,,,,,,,
56,1629.986,97.291,,,,,,,,,
57,1649.276,97.561,,,,,,,,,
58,1668.566,98.8905,,,,,,,,,
59,1687.856,99.3233,,,,,,,,,
60,1707.146,99.3135,,,,,,,,,
61,1726.435,98.96,,,,,,,,,
62,1745.725,98.701,,,,,,,,,
63,1765.015,97.511,,,,,,,,,
64,1784.305,98.561,,,,,,,,,
65,1803.594,99.5025,,,,,,,,,
66,1822.884,99.4761,,,,,,,,,
67,1842.174,99.0702,,,,,,,,,
68,1861.464,97.571,,,,,,,,,
69,1880.754,96.881,,,,,,,,,
70,1900.043,97.511,,,,,,,,,
71,1919.333,99.3585,,,,,,,,,
72,1938.623,99.4361,,,,,,,,,
73,1957.913,99.5097,,,,,,,,,
74,1977.202,99.5645,,,,,,,,,
75,1996.492,99.4762,,,,,,,,,
76,2015.782,99.4864,,,,,,,,,
77,2035.072,99.4956,,,,,,,,,
